,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
35,70,48,26,38,27,22,85,53,20,30.38,30.19,30.02,10,10,8,8,1,14,1048710776_bb5b0a5c7c.jpg
36,76,60,43,45,39,33,76,52,27,30,29.84,29.69,10,10,10,12,3,20,1052358063_eae6744153.jpg
37,60,47,34,43,23,5,66,44,21,30.28,30.09,29.81,10,10,10,21,9,32,105342180_4d4a40b47f.jpg
38,39,33,27,19,14,7,69,48,27,30.51,30.4,30.27,10,10,10,15,6,23,1053804096_ad278b25f1.jpg
39,49,38,27,19,13,9,63,42,21,30.52,30.41,30.29,10,10,10,15,5,23,1055623002_8195a43714.jpg
40,65,48,31,51,36,20,80,64,48,30.26,30.06,29.9,10,10,10,15,7,27,1055753357_4fa3d8d693.jpg
41,80,68,55,59,54,51,86,64,42,29.96,29.87,29.79,10,10,9,14,9,25,1056249424_ef2a2e041c.jpg
42,76,66,55,62,59,41,81,71,60,29.91,29.81,29.75,10,10,9,14,6,26,1056338697_4f7d7ce270.jpg
43,55,45,35,40,33,27,79,69,59,30.27,30.09,29.9,10,8,4,18,11,29,1056359656_662cee0814.jpg
44,46,40,34,38,33,28,82,74,65,30.28,30.17,29.98,10,6,3,13,6,17,1056873310_49c665eb22.jpg
45,64,53,42,45,41,39,89,68,46,30.11,29.95,29.87,10,6,2,10,2,18,1057089366_ca83da0877.jpg
46,48,40,31,42,26,16,80,60,39,30.5,30.37,30.13,10,10,10,16,10,24,1057210460_09c6f4c6c1.jpg
47,32,29,26,17,15,13,58,54,49,30.57,30.48,30.42,10,10,10,15,8,23,1057251835_6ded4ada9c.jpg
48,38,34,29,29,24,17,78,68,58,30.41,30.32,30.24,10,7,2,8,3,12,106490881_5a2dd9b7bd.jpg
49,65,51,37,42,36,29,85,63,40,30.26,30.17,30.03,10,7,3,14,5,21,106514190_bae200f463.jpg
50,76,59,41,53,45,38,96,70,44,30.12,30.05,29.93,10,5,0,13,4,20,1067180831_a59dc64344.jpg
51,60,48,35,49,36,30,82,74,66,30.23,30.15,30.02,10,8,4,15,9,23,1067675215_7336a694d6.jpg
52,36,35,33,31,29,27,89,80,70,30.3,30.24,30.19,9,5,1,15,9,23,1067790824_f3cc97239b.jpg
53,57,45,33,34,29,27,75,57,38,30.27,30.18,30.08,10,9,7,14,5,22,1072153132_53d2bb1b60.jpg
54,69,51,32,38,34,28,85,58,30,30.11,30.02,29.93,10,10,10,10,4,19,107318069_e9f2ef32de.jpg
55,86,67,47,48,37,22,86,51,15,30.08,29.93,29.85,10,10,8,18,6,30,1075716537_62105738b4.jpg
56,76,59,42,52,35,22,64,43,22,30.17,30.09,30.01,10,10,10,15,5,23,107582366_d86f2d3347.jpg
57,76,68,59,61,57,53,90,74,57,30.08,30.01,29.94,10,5,0,13,5,23,1075867198_27ca2e7efe.jpg
58,81,70,58,62,50,29,87,52,17,30.12,30.03,29.92,10,8,2,15,5,23,1075881101_d55c46bece.jpg
59,82,69,55,63,53,32,78,55,32,30.1,30,29.89,10,10,9,13,4,20,1077546505_a4f6c4daa9.jpg
60,82,73,63,62,60,59,93,70,47,29.93,29.85,29.72,10,9,2,15,7,25,1077931201_1e0bb83105.jpg
61,83,70,57,64,50,27,81,48,15,30.09,29.85,29.71,10,9,7,16,8,28,1079274291_9aaf896cc1.jpg
62,72,57,41,33,27,22,67,43,19,30.21,30.11,30.03,10,10,10,14,5,20,10815824_2997e03d76.jpg
63,77,63,48,57,46,30,73,53,32,30.05,29.96,29.87,10,10,10,14,6,22,1082252566_8c79beef93.jpg
64,86,74,62,61,56,44,84,57,29,30.05,29.95,29.88,10,10,7,15,4,24,1082379191_ec1e53f996.jpg
65,76,66,55,63,51,43,81,65,49,30.1,30.04,29.99,10,9,5,12,4,18,1084040636_97d9633581.jpg
66,71,62,52,65,60,47,93,85,77,30.06,30.01,29.95,10,4,1,12,5,20,1084104085_3b06223afe.jpg
67,52,44,36,46,33,21,83,63,43,30.26,30.18,30.06,10,8,2,20,8,29,1087168168_70280d024a.jpg
68,59,45,31,32,27,21,82,56,29,30.22,30.1,29.94,10,10,10,12,3,17,1087539207_9f77ab3aaf.jpg
69,80,62,44,50,46,35,83,60,37,29.92,29.85,29.75,10,10,7,13,6,21,1088767354_2acee738cf.jpg
70,82,68,53,65,57,48,93,74,54,30.02,29.95,29.87,10,7,0,16,5,27,108898978_7713be88fc.jpg
71,73,51,28,67,45,20,89,79,69,30.31,30.05,29.88,10,8,2,20,10,37,108899015_bf36131a57.jpg
72,47,36,24,27,20,12,75,56,37,30.44,30.33,30.25,10,9,4,18,10,29,1089181217_ee1167f7af.jpg
73,50,40,30,36,31,26,92,72,52,30.31,30.18,30.06,10,8,2,9,4,13,1089755335_0bfbfd30e6.jpg
74,53,46,38,43,39,35,86,76,66,30.18,30.06,29.99,10,7,4,13,3,16,109202756_b97fcdc62c.jpg
75,65,54,43,42,38,35,89,62,34,30.28,30.18,30.08,10,8,4,13,4,20,109202801_c6381eef15.jpg
76,67,53,39,50,42,36,86,65,44,30.1,29.99,29.88,10,9,5,16,6,22,109260216_85b0be5378.jpg
77,59,52,44,57,49,39,93,88,83,30.3,30.09,29.9,10,3,1,14,4,21,109260218_fca831f933.jpg
78,58,49,39,45,39,31,86,71,55,30.37,30.29,30.22,10,9,2,15,5,23,1093716555_801aacef79.jpg
79,71,61,50,56,51,45,84,69,53,30.25,30.08,29.94,10,9,4,12,3,17,1093737381_b313cd49ff.jpg
80,83,70,56,56,54,52,93,66,39,29.93,29.77,29.58,10,9,4,14,5,22,1094462889_f9966dafa6.jpg
81,70,60,49,50,28,16,56,36,16,30.3,30.13,29.73,10,10,10,24,11,37,1095476286_87d4f8664e.jpg
82,68,52,37,40,26,20,68,35,21,30.37,30.26,30.12,10,10,10,9,4,18,1095580424_76f0aa8a3e.jpg
83,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,1095590286_c654f7e5a9.jpg
84,74,68,62,64,62,59,93,81,68,29.97,29.86,29.68,10,5,0,12,4,17,1095980313_3c94799968.jpg
85,64,56,48,58,45,32,93,66,39,30.07,29.9,29.7,10,10,10,24,11,36,1096097967_ac305887b4.jpg
86,68,55,41,31,26,20,53,36,18,30.06,29.94,29.78,10,10,10,16,6,26,1096165011_cc5eb16aa6.jpg
87,83,65,47,56,42,31,73,49,24,29.83,29.74,29.67,10,10,10,18,8,26,1096395242_fc69f0ae5a.jpg
88,72,62,51,55,37,28,80,52,24,30.21,30.07,29.88,10,9,6,15,6,26,109671650_f7bbc297fa.jpg
89,76,59,42,40,36,31,82,52,21,30.25,30.15,30.04,10,10,10,10,2,15,109738763_90541ef30d.jpg
90,80,67,54,60,54,41,93,69,45,30.03,29.95,29.83,10,8,0,17,7,27,109738916_236dc456ac.jpg
91,77,69,61,65,62,51,100,80,60,30.02,29.95,29.88,10,7,1,12,4,17,109823394_83fcb735e1.jpg
92,61,54,47,51,43,36,72,62,51,30.27,30.19,30.05,10,10,9,17,9,30,109823395_6fb423a90f.jpg
93,66,58,50,47,42,38,72,58,44,30.24,30.14,30.03,10,10,10,10,3,15,109823397_e35154645f.jpg
94,69,57,44,46,38,31,93,61,28,30.35,30.24,30.14,10,10,7,15,5,22,1100214449_d10861e633.jpg
95,66,60,54,55,47,30,78,57,36,30.2,30.08,29.95,10,10,6,22,10,33,1104133405_c04a00707f.jpg
96,82,72,61,68,63,56,100,78,55,29.95,29.83,29.73,10,7,1,16,8,26,1105959054_9c3a738096.jpg
97,89,76,63,67,61,49,90,64,37,30,29.79,29.7,10,8,2,18,5,27,110595925_f3395c8bd6.jpg
98,77,64,51,48,40,30,68,43,18,30.28,30.18,30.04,10,10,10,13,5,21,1107246521_d16a476380.jpg
99,79,62,45,51,43,38,83,56,29,30.22,30.13,30.01,10,10,10,20,8,30,1107471216_4336c9b328.jpg
100,85,73,60,62,57,53,90,65,40,30.01,29.93,29.83,10,10,10,16,9,27,1110208841_5bb6806afe.jpg
101,86,76,66,67,64,62,93,71,48,29.99,29.92,29.82,10,8,4,17,8,28,1112212364_0c48235fc2.jpg
102,82,76,70,69,67,63,97,78,58,29.9,29.8,29.69,10,9,4,16,9,30,111497985_38e9f88856.jpg
103,82,77,71,69,67,66,90,74,58,29.81,29.74,29.66,10,8,5,14,7,25,111537217_082a4ba060.jpg
104,74,64,54,69,35,28,93,58,22,30.14,30.03,29.82,10,10,5,17,8,28,111537222_07e56d5a30.jpg
105,65,60,54,46,38,33,60,48,36,30.08,29.99,29.88,10,10,10,10,4,17,1115565519_d976d4b1f1.jpg
106,61,57,52,51,49,45,96,76,55,29.89,29.81,29.75,10,7,2,12,5,19,1115679311_245eff2f4b.jpg
107,72,62,52,51,49,47,93,69,44,30.05,29.92,29.83,10,9,2,25,3,57,111766423_4522d36e56.jpg
108,77,64,50,50,38,27,96,57,18,30.2,30.14,30.05,10,10,10,22,8,37,1117972841_2b9261f95f.jpg
109,84,65,45,51,42,37,77,51,24,30.27,30.17,30.06,10,10,10,13,6,22,1118557877_736f339752.jpg
110,87,72,57,59,53,48,90,59,27,30.11,30.01,29.91,10,10,10,17,10,31,1119015538_e8e796281e.jpg
111,85,73,61,61,59,56,90,65,40,30.04,29.98,29.88,10,10,7,16,8,25,1119418776_58e4b93eac.jpg
112,85,75,65,63,62,60,87,66,44,29.99,29.91,29.8,10,10,9,20,10,30,1119463452_69d4eecd08.jpg
113,78,73,68,68,66,61,90,79,67,29.85,29.76,29.62,10,9,8,18,7,29,1121416483_c7902d0d49.jpg
114,73,58,43,69,46,32,90,65,39,30.27,29.96,29.67,10,8,0,22,10,38,112178718_87270d9b4d.jpg
115,65,52,39,32,25,16,59,39,19,30.38,30.27,30.15,10,10,10,12,4,17,112243673_fd68255217.jpg
116,73,57,40,48,40,31,76,56,35,30.15,30.06,29.95,10,10,10,16,7,26,1122944218_8eb3607403.jpg
117,67,62,56,61,57,49,97,85,72,30.17,30.09,29.99,10,7,1,10,4,15,1124448967_2221af8dc5.jpg
118,78,69,59,61,57,51,93,68,43,30.23,30.17,30.09,10,6,2,9,2,16,1129704496_4a61441f2c.jpg
119,78,66,54,56,54,52,93,68,43,30.18,30.12,30.05,10,9,4,13,5,19,1130017585_1a219257ac.jpg
120,75,68,61,63,59,55,97,77,57,30.15,30.1,30.02,10,8,2,12,6,19,1130369873_d80a1aa59c.jpg
121,84,74,64,65,63,57,93,72,51,30.07,30.01,29.9,10,9,2,14,5,25,1130401779_8c30182e3e.jpg
122,87,75,63,63,58,55,87,61,35,30.03,29.96,29.9,10,10,10,12,3,20,1131155939_b4b457b05e.jpg
123,87,73,59,64,61,57,90,68,46,29.93,29.85,29.75,10,10,10,17,7,29,1131340021_83f46b150a.jpg
124,88,78,67,66,62,44,87,63,38,29.91,29.82,29.76,10,10,9,16,5,26,1131800850_89c7ffd477.jpg
125,88,76,63,64,54,45,68,51,34,30.01,29.92,29.84,10,10,10,12,6,20,1131804997_177c3c0640.jpg
126,86,77,68,69,66,62,90,73,55,29.87,29.78,29.64,10,6,2,16,8,28,1131932671_c8d17751b3.jpg
127,96,85,73,70,66,41,87,51,15,29.63,29.55,29.44,10,6,3,14,6,24,1132772170_600610c5df.jpg
128,93,80,66,69,39,25,67,39,10,29.7,29.61,29.55,10,10,7,14,4,22,113678030_87a6a6e42e.jpg
129,84,72,60,46,34,22,60,36,11,29.96,29.77,29.6,10,10,10,17,7,28,1138784872_69ade3f2ab.jpg
130,75,66,57,38,33,31,42,32,21,30.17,30.08,29.98,10,10,10,16,6,28,114051287_dd85625a04.jpg
131,77,65,52,43,33,25,63,39,15,30.19,30.12,30.01,10,10,10,10,3,18,1141718391_24164bf1b1.jpg
132,83,70,56,40,35,27,51,33,14,30.09,30.02,29.94,10,10,10,9,3,17,1141739219_2c47195e4c.jpg
133,94,76,58,42,35,26,44,27,10,30.06,30,29.95,10,10,10,13,4,20,1142283988_6b227c5231.jpg
134,91,76,61,42,37,32,37,27,16,30.09,30.02,29.94,10,10,10,14,7,23,1142847777_2a0c1c2551.jpg
135,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,1143373711_2e90b7b799.jpg
136,87,76,65,64,62,57,87,66,45,29.87,29.81,29.72,10,10,10,17,9,29,1143882946_1898d2eeb9.jpg
137,88,79,70,67,64,62,84,65,46,29.88,29.81,29.75,10,10,10,18,9,31,1144288288_e5c9558b6a.jpg
138,84,79,73,73,70,67,84,75,65,29.87,29.81,29.74,10,6,2,17,8,30,1148238960_f8cacec2fc.jpg
139,86,76,66,71,68,58,87,69,50,29.96,29.89,29.77,10,5,1,20,5,39,1149179852_acad4d7300.jpg
140,91,76,60,66,62,58,97,71,44,29.92,29.84,29.75,10,10,5,16,6,23,114949897_490ca7eaec.jpg
141,93,83,72,68,67,65,84,63,41,29.84,29.77,29.66,10,9,4,18,10,30,1151466868_3bc4d9580b.jpg
142,82,72,62,76,70,61,94,87,79,29.95,29.84,29.74,10,5,0,18,7,26,1153704539_542f7aa3a5.jpg
143,67,61,55,60,54,48,93,73,52,30.25,30.09,29.92,10,8,2,16,8,31,1155138244_859fd6e079.jpg
144,76,64,51,51,43,32,93,57,21,30.29,30.24,30.17,10,10,5,17,7,28,115684808_cb01227802.jpg
145,84,65,46,47,41,33,93,55,17,30.3,30.22,30.11,10,10,10,10,3,17,1159574340_99ba8c3c59.jpg
146,86,74,61,48,43,36,60,40,20,30.14,30.06,29.96,10,10,10,15,7,27,1160034462_16b38174fe.jpg
147,86,73,60,59,55,47,84,58,32,30.02,29.97,29.9,10,10,10,17,9,26,1160441615_fe6b3c5277.jpg
148,85,74,62,61,59,57,93,67,40,30.09,30.03,29.96,10,10,8,16,8,24,1163282319_b729b24c46.jpg
149,86,76,66,64,61,57,87,65,43,30.07,30,29.94,10,10,10,18,10,27,116409198_0fe0c94f3b.jpg
150,89,78,67,65,62,59,84,63,42,30.08,30.01,29.96,10,10,10,14,9,26,1164131282_b30926f332.jpg
151,89,80,70,66,64,61,84,61,38,30.1,30.02,29.96,10,10,10,16,8,27,1164765687_7aca07bbe7.jpg
152,87,79,70,68,65,61,90,70,50,30.11,30.05,29.96,10,10,7,15,7,25,1167662968_e466f1e80a.jpg
153,84,78,71,71,67,62,84,69,54,30.09,30.03,29.96,10,8,0,14,6,20,1167669558_87a8a467d6.jpg
154,86,78,70,70,68,66,97,79,61,30.06,29.99,29.89,10,9,7,15,7,23,1167908324_8caab45e15.jpg
155,87,80,72,67,66,63,84,66,48,30.07,29.98,29.89,10,10,10,15,6,24,1169307342_e7a4685a5c.jpg
156,75,70,64,70,65,61,93,83,73,30.09,30,29.94,10,8,1,17,5,29,1174525839_7c1e6cfa86.jpg
157,73,68,63,67,64,61,93,86,79,30.03,29.95,29.86,10,6,0,22,3,31,1174629344_a2e1a2bdbf.jpg
158,84,76,68,68,66,62,97,74,51,29.94,29.88,29.83,10,7,2,14,4,22,1176580356_9810d877bf.jpg
159,89,78,66,65,63,61,93,66,38,29.89,29.85,29.79,10,10,10,9,2,15,1177994172_10d143cb8d.jpg
160,94,81,68,67,65,60,84,60,36,29.86,29.82,29.78,10,10,10,9,3,17,1178705300_c224d9a4f1.jpg
161,93,82,70,69,67,65,84,63,41,29.89,29.85,29.82,10,10,10,10,3,20,118187095_d422383c81.jpg
162,88,80,71,71,69,63,93,69,45,29.97,29.9,29.83,10,8,2,14,4,20,118309463_a532b75be9.jpg
163,91,83,74,71,69,67,87,67,47,29.97,29.91,29.86,10,10,8,13,7,22,1184967930_9e29ce380d.jpg
164,90,83,75,72,70,68,82,67,52,30.03,29.96,29.88,10,10,10,10,6,17,1187435567_18173c148b.jpg
165,91,83,74,71,70,68,87,70,52,29.93,29.86,29.79,10,10,10,12,7,21,1187593464_ce862352c6.jpg
166,91,83,74,72,70,68,87,72,56,29.87,29.82,29.78,10,10,10,14,7,22,1189977786_4f5aaed773.jpg
167,92,83,73,71,70,69,87,70,52,29.97,29.88,29.83,10,10,9,14,7,25,1191338263_a4fa073154.jpg
168,92,83,74,72,70,67,93,71,49,29.97,29.89,29.81,10,10,10,14,7,26,1193116658_c0161c35b5.jpg
169,90,83,76,72,70,64,87,67,46,29.99,29.88,29.76,10,10,5,16,7,27,119534510_d52b3781a3.jpg
170,86,77,68,75,71,66,91,78,65,29.92,29.81,29.75,10,8,1,14,4,22,1197800988_7fb0ca4888.jpg
171,92,78,64,70,61,56,97,64,30,29.9,29.85,29.81,10,10,9,13,3,20,1198194316_543cc7b945.jpg
172,94,80,66,73,66,62,87,64,41,29.89,29.83,29.74,10,10,10,14,5,21,1204996216_71d7519d9a.jpg
173,92,80,68,74,72,67,79,68,56,29.98,29.82,29.71,10,9,1,24,8,47,1206506157_c7956accd5.jpg
174,89,79,68,-,-,-,95,75,55,30.01,29.95,29.87,-,-,-,15,4,22,1207159468_425b902bfb.jpg
175,87,92,73,-,-,-,95,77,59,29.99,29.93,29.84,-,-,-,15,6,22,1211015912_9f3ee3a995.jpg
176,91,83,74,-,-,-,-,-,-,29.98,29.9,29.87,-,-,-,14,9,23,1213336750_2269b51397.jpg
177,92,84,75,-,-,-,94,72,49,30.05,29.99,29.93,-,-,-,12,8,24,1215334959_b1970965f7.jpg
178,92,84,75,72,69,66,88,69,49,30.04,29.99,29.92,10,10,10,12,9,22,121800200_bef08fae5f.jpg
179,92,85,77,75,72,67,91,68,44,30.03,29.96,29.88,10,9,4,16,9,26,121971540_0a986ee176.jpg
180,91,84,76,74,71,66,88,68,47,30.05,30,29.94,10,10,10,13,6,22,1220401002_3f44b1f3f7.jpg
181,91,83,75,73,71,67,88,69,50,30.11,30.04,29.96,10,10,9,13,5,19,1222322358_225067636e.jpg
182,92,84,75,74,72,68,94,72,49,30.07,29.99,29.87,10,10,8,15,6,21,1224851143_33bcdd299c.jpg
183,90,83,76,74,72,68,85,70,55,29.96,29.9,29.82,10,9,8,13,8,22,1225443522_1633e7121f.jpg
184,88,78,68,75,72,66,88,75,61,30.04,29.93,29.83,10,8,1,16,4,26,1227655020_b11a1bb112.jpg
185,93,84,74,74,72,69,94,72,49,30.05,30,29.94,10,9,0,22,4,35,1229756013_94663527d7.jpg
186,89,80,71,76,72,68,94,77,59,30.07,30.01,29.92,10,8,0,16,5,24,1231229740_8dcbf80bfb.jpg
187,88,80,71,75,71,69,94,76,57,30.02,29.95,29.85,10,10,6,15,7,24,1232148178_4f45cc3284.jpg
188,91,83,75,74,72,70,88,69,49,29.93,29.87,29.79,10,10,8,17,8,32,1234293791_6566284bcd.jpg
189,93,86,78,74,73,71,85,69,52,29.97,29.88,29.83,10,10,8,16,9,27,1234817607_924893f6e1.jpg
190,95,86,77,74,73,70,88,69,49,30.04,29.97,29.91,10,9,7,17,9,27,1235580648_7eebaed9bc.jpg
191,96,87,77,74,71,67,88,64,39,30.03,29.94,29.86,10,9,7,17,8,27,1235681222_819231767a.jpg
192,96,86,75,73,70,66,88,64,39,29.98,29.92,29.87,10,10,7,15,6,22,1235685934_be89b231fb.jpg
193,97,85,73,73,69,64,93,64,35,30.06,30,29.96,10,10,6,14,4,18,1236951314_0308dc4138.jpg
194,96,84,72,71,69,61,93,62,30,30.13,30.08,30.01,10,10,6,20,3,29,1236964638_1808784a3c.jpg
195,93,82,71,70,68,59,93,67,41,30.22,30.15,30.1,10,10,9,16,4,23,1237985362_dbafc59280.jpg
196,94,82,69,71,69,67,93,70,46,30.19,30.12,30.05,10,10,5,18,4,30,123889082_d3751e0350.jpg
197,95,84,72,73,70,66,100,72,44,30.1,30.03,29.91,10,8,3,13,5,20,123997871_6a9ca987b1.jpg
198,96,85,73,70,67,63,87,61,34,30.01,29.97,29.91,10,10,10,13,5,19,1240297429_c36ae0c58f.jpg
199,98,86,74,73,68,61,93,63,33,30.04,29.99,29.95,10,10,10,13,7,21,124195430_d14028660f.jpg
200,98,85,72,72,66,57,90,59,27,30.07,30,29.93,10,10,8,14,6,23,1244140539_da4804d828.jpg
201,96,84,72,71,68,63,93,64,34,30.11,30.01,29.94,10,10,7,14,5,24,1244306891_8e78ae1620.jpg
202,95,83,71,72,67,56,90,60,30,30.15,30.09,30.03,10,10,10,13,5,22,1244485675_822e6efe60.jpg
203,98,85,71,71,66,56,93,59,25,30.19,30.1,30.01,10,9,7,13,4,20,1245022983_fb329886dd.jpg
204,100,87,74,71,67,62,93,63,33,30.09,30.03,29.96,10,10,10,13,4,17,1247181182_35cabd76f3.jpg
205,101,88,75,71,67,59,82,55,28,30.03,29.96,29.87,10,10,10,10,4,16,1248357227_2b4175fc39.jpg
206,92,83,73,73,71,69,93,71,49,30.01,29.96,29.91,10,10,8,15,3,23,1248734482_3038218f3b.jpg
207,95,84,73,74,71,68,93,68,43,30.03,29.95,29.83,10,8,1,15,4,22,124881487_36e668145d.jpg
208,89,82,74,76,74,70,94,77,59,29.92,29.86,29.76,10,7,0,13,5,19,1248940539_46d33ed487.jpg
209,78,75,72,74,71,68,100,87,74,30.01,29.93,29.87,10,7,1,14,3,27,1248953128_24c9f8d924.jpg
210,86,78,70,70,68,66,90,76,61,30.03,29.99,29.93,10,9,6,8,2,11,124972799_de706b6d0b.jpg
211,94,84,74,76,72,70,93,73,52,30.04,29.96,29.88,10,9,7,12,4,18,1251558317_4ef844b775.jpg
212,96,87,77,76,73,70,94,70,46,30.05,29.97,29.9,10,9,5,10,6,20,1252396628_eb81d3905b.jpg
213,96,86,76,74,72,68,94,68,42,30.08,30.01,29.95,10,10,8,8,2,14,1252787177_4b08625897.jpg
214,97,86,75,75,71,66,94,66,38,30.05,30,29.94,10,9,6,7,3,14,125319704_49ead3463c.jpg
215,94,84,74,77,72,68,94,70,46,30.08,29.99,29.9,10,8,2,8,3,12,1253264731_e7c689eca5.jpg
216,96,86,75,73,70,66,87,63,39,30.02,29.96,29.89,10,10,10,12,5,18,1253275679_e955fb7304.jpg
217,98,87,76,74,71,67,94,66,38,30.01,29.95,29.88,10,10,8,15,6,25,1255504166_f2437febcb.jpg
218,98,87,75,74,71,65,94,64,33,30.08,30,29.94,10,10,9,13,6,22,1258913059_07c613f7ff.jpg
219,99,87,74,73,69,63,93,62,31,30.13,30.05,29.98,10,10,8,9,3,15,1259936608_e3f0064f23.jpg
220,97,87,76,72,70,66,87,63,38,30.08,30.03,29.99,10,10,10,13,4,23,1260816604_570fc35836.jpg
221,96,86,76,72,68,60,87,60,33,30.06,29.97,29.86,10,10,10,14,6,22,1262077938_8b9516c273.jpg
222,97,87,77,73,71,64,85,64,42,30.01,29.94,29.86,10,10,10,13,4,19,1262454669_f1caafec2d.jpg
223,91,82,73,67,65,64,74,59,44,30.01,29.98,29.93,10,10,10,12,5,18,1262583859_653f1469a9.jpg
224,90,79,68,68,66,64,93,70,46,30.1,30.02,29.96,10,10,10,10,3,18,1263126002_881ebd7ac9.jpg
225,94,83,71,69,66,65,84,62,39,30.08,30,29.92,10,10,9,13,4,19,1263801010_5c74bf1715.jpg
226,94,83,72,72,69,65,87,66,44,30.06,29.98,29.92,10,9,7,13,3,20,1267711451_e2a754b4f8.jpg
227,97,85,73,71,68,64,87,61,35,30.06,29.99,29.93,10,10,8,13,3,22,1269470943_ba7fc49b4d.jpg
228,99,88,76,73,68,61,94,64,33,30.06,29.96,29.86,10,10,9,13,5,20,1271210445_7f7ecf3791.jpg
229,102,90,77,74,71,63,88,59,29,29.99,29.9,29.78,10,8,5,13,6,25,1271960365_e54033f883.jpg
